team,abbr,state,color1,color2
América MG,AME,Minas Gerais,#007242,#ffffff
América RN,ARN,Rio Grande do Norte,#ff1100,#ffffff
Athletico PR,CAP,Paraná,#e43031,#231f20
Atlético GO,ACG,Goiás,#dc1212,#010101
Atlético MG,CAM,Minas Gerais,#1f1a17,#ffffff
Avaí,AVA,Santa Catarina,#0b5b8d,#ffffff
Bahia,BAH,Bahia,#2762a6,#cd3529
Barueri,BAR,São Paulo,#f5e145,#cf192e
Botafogo,BOT,Rio de Janeiro,#000000,#ffffff
Bragantino,BGT,São Paulo,#0f2d5b,#e41349
Brasiliense,BRA,Brasília,#f6dc01,#009b45
Ceará,CEA,Ceará,#000000,#fefefe
Chapecoense,CHA,Santa Catarina,#026b38,#ffffff
Corinthians,COR,São Paulo,#1e1214,#d82531
Coritiba,CFC,Paraná,#006755,#ffffff
Criciúma,CRI,Santa Catarina,#f4cf16,#1f150a
Cruzeiro,CRU,Minas Gerais,#1e3d8e,#ffffff
CSA,CSA,Alagoas,#041e5c,#ffffff
Cuiabá,CUI,Mato Grosso,#016c32,#ffdb01
Figueirense,FIG,Santa Catarina,#231f20,#03a550
Flamengo,FLA,Rio de Janeiro,#c3281e,#070308
Fluminense,FLU,Rio de Janeiro,#870a28,#00613c
Fortaleza,FOR,Ceará,#1f5ea1,#e1251b
Goiás,GOI,Goiás,#26603c,#ffffff
Grêmio,GRE,Rio Grande do Sul,#0e93d2,#231f20
Guarani,GUA,São Paulo,#006e4d,#ffffff
Internacional,INT,Rio Grande do Sul,#e5050f,#ffffff
Ipatinga,IPA,Minas Gerais,#64b054,#cc262d
Joinville,JOI,Santa Catarina,#ee3338,#ffffff
Juventude,JUV,Rio Grande do Sul,#118e4c,#ffffff
Náutico,NAU,Pernambuco,#ed2129,#ffffff
Palmeiras,PAL,Rio de Janeiro,#006437,#ffffff
Paraná,PAR,Paraná,#cd3529,#304296
Paysandu,PAY,Pará,#263484,#fbfbfb
Ponte Preta,PON,São Paulo,#000000,#fdfdfd
Portuguesa,POR,São Paulo,#198538,#ee2722
Santa Cruz,STA,Pernambuco,#231f20,#ee3124
Santo André,SAD,São Paulo,#267946,#2d3492
Santos,SAN,São Paulo,#000000,#ffffff
São Caetano,SCA,São Paulo,#034ea2,#00a651
São Paulo,SAO,São Paulo,#000000,#ed1c24
Sport,SPT,Pernambuco,#d91a21,#ffda00
Vasco da Gama,VAS,Rio de Janeiro,#000000,#ffffff
Vitória,VIT,Bahia,#ff1100,#000000
