"","id","pokemon","id_especie","altura","peso","exp_base","tipo_1","tipo_2","hp","ataque","defesa","ataque_especial","defesa_especial","velocidade","cor_1","cor_2","cor_final","grupo_ovo_1","grupo_ovo_2","url_icone","url_imagem","id_geracao"
"1",1,"bulbasaur",1,0.07,0.69,64,"grama","venenoso",45,49,49,65,65,45,"#78C850","#A040A0","#81A763","monster","plant","//archives.bulbagarden.net/media/upload/7/7b/001MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/001.png",1
"2",2,"ivysaur",2,0.1,1.3,142,"grama","venenoso",60,62,63,80,80,60,"#78C850","#A040A0","#81A763","monster","plant","//archives.bulbagarden.net/media/upload/a/a0/002MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/002.png",1
"3",3,"venusaur",3,0.2,10,236,"grama","venenoso",80,82,83,100,100,80,"#78C850","#A040A0","#81A763","monster","plant","//archives.bulbagarden.net/media/upload/0/07/003MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/003.png",1
"4",4,"charmander",4,0.06,0.85,62,"fogo",NA,39,52,43,60,50,65,"#F08030",NA,NA,"monster","dragon","//archives.bulbagarden.net/media/upload/7/7d/004MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/004.png",1
"5",5,"charmeleon",5,0.11,1.9,142,"fogo",NA,58,64,58,80,65,80,"#F08030",NA,NA,"monster","dragon","//archives.bulbagarden.net/media/upload/b/be/005MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/005.png",1
"6",6,"charizard",6,0.17,9.05,240,"fogo","voador",78,84,78,109,85,100,"#F08030","#A890F0","#DE835E","monster","dragon","//archives.bulbagarden.net/media/upload/4/41/006MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/006.png",1
"7",7,"squirtle",7,0.05,0.9,63,"água",NA,44,48,65,50,64,43,"#6890F0",NA,NA,"monster","water1","//archives.bulbagarden.net/media/upload/9/97/007MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/007.png",1
"8",8,"wartortle",8,0.1,2.25,142,"água",NA,59,63,80,65,80,58,"#6890F0",NA,NA,"monster","water1","//archives.bulbagarden.net/media/upload/5/55/008MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/008.png",1
"9",9,"blastoise",9,0.16,8.55,239,"água",NA,79,83,100,85,105,78,"#6890F0",NA,NA,"monster","water1","//archives.bulbagarden.net/media/upload/1/12/009MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/009.png",1
"10",10,"caterpie",10,0.03,0.29,39,"inseto",NA,45,30,35,20,20,45,"#A8B820",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/c/ca/010MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/010.png",1
"11",11,"metapod",11,0.07,0.99,72,"inseto",NA,50,20,55,25,25,30,"#A8B820",NA,NA,"bug",NA,"//archives.bulbagarden.net/media/upload/f/ff/011MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/011.png",1
"12",12,"butterfree",12,0.11,3.2,178,"inseto","voador",60,45,50,90,80,70,"#A8B820","#A890F0","#A8AE52","bug",NA,"//archives.bulbagarden.net/media/upload/5/58/012MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/012.png",1
